City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Kloulklubed,PW,7.0419,134.2556,83.21,74,100,11.39,moderate rain
294,Pasni,PK,25.2631,63.471,82.27,93,11,9.93,few clouds
295,Velingara,SN,13.15,-14.1167,76.86,79,100,4.36,light rain
296,Port Macquarie,AU,-31.4333,152.9167,65.89,71,27,9.78,scattered clouds
297,Saurimo,AO,-9.6608,20.3916,54.52,34,2,5.37,clear sky
298,Linjiang,CN,41.8069,126.9078,79.99,57,100,3.71,overcast clouds
299,Road Town,VG,18.4167,-64.6167,83.19,78,100,19.95,overcast clouds
300,Abbeville,FR,50.1,1.8333,60.49,93,100,4.97,overcast clouds
301,Otane,NZ,-39.8833,176.6333,54.01,57,7,3.38,clear sky
302,Bairiki,KI,1.3292,172.9752,87.8,70,40,11.5,scattered clouds
303,Leshukonskoye,RU,64.8989,45.7622,48.94,72,62,4.88,broken clouds
304,Komsomolskiy,UZ,40.4272,71.7189,75.92,41,3,6.91,clear sky
305,Necochea,AR,-38.5473,-58.7368,47.03,71,100,10.6,overcast clouds
306,Guerrero Negro,MX,27.9769,-114.0611,68.58,81,13,18.7,few clouds
307,Pampas,PE,-12.4,-74.9,42.48,92,3,2.24,clear sky
308,Semirom,IR,31.4167,51.5667,63.84,27,2,3.38,clear sky
309,Bartica,GY,6.4,-58.6167,77.32,98,73,1.52,broken clouds
310,Florence,IT,43.7667,11.25,67.53,81,0,4.61,clear sky
311,Mount Gambier,AU,-37.8333,140.7667,46.6,95,100,1.25,light rain
312,Sabang,ID,5.8933,95.3214,81.93,76,90,5.48,overcast clouds
313,Rafaela,AR,-31.2503,-61.4867,48.06,65,3,7.05,clear sky
314,Dwarka,IN,22.2394,68.9678,84.6,72,100,22.41,overcast clouds
315,Masaki,JP,33.7876,132.7112,85.48,79,40,4.61,fog
316,Ipubi,BR,-7.6519,-40.1489,68.49,93,95,7.81,overcast clouds
317,Shenjiamen,CN,29.9576,122.298,76.69,97,100,6.2,heavy intensity rain
318,Ajdabiya,LY,30.7554,20.2263,85.19,28,0,4.21,clear sky
319,Ribeira Grande,PT,38.5167,-28.7,67.77,76,100,16.96,overcast clouds
320,Birjand,IR,32.8663,59.2211,74.73,30,0,18.5,clear sky
321,Amapa,BR,1.0,-52.0,71.38,99,100,1.32,overcast clouds
322,Augusto Correa,BR,-1.0217,-46.635,74.62,93,100,4.68,light rain
323,Victoria,HK,22.2855,114.1577,89.65,86,100,8.99,overcast clouds
324,Port Blair,IN,11.6667,92.75,83.34,80,100,14.7,light rain
325,Wattegama,LK,6.7989,81.4808,80.37,67,33,6.67,scattered clouds
326,Carutapera,BR,-1.195,-46.02,76.17,90,91,7.07,overcast clouds
327,Novo Aripuana,BR,-5.1206,-60.3797,72.12,70,43,1.28,scattered clouds
328,Kiama,AU,-34.6833,150.8667,68.25,64,5,3.0,clear sky
329,Penzance,GB,50.1186,-5.5371,54.7,92,1,3.78,clear sky
330,Poum,NC,-20.2333,164.0167,73.92,69,90,20.65,overcast clouds
331,Ahipara,NZ,-35.1667,173.1667,58.98,62,62,8.28,broken clouds
332,Tukrah,LY,32.5341,20.5791,85.93,37,0,7.05,clear sky
333,Taizhou,CN,32.4933,119.9106,84.88,70,97,12.06,overcast clouds
334,Hailar,CN,49.2,119.7,64.31,77,99,16.64,overcast clouds
335,Port Elizabeth,ZA,-33.918,25.5701,53.1,78,76,5.3,broken clouds
336,General Teran,MX,25.2667,-99.6833,83.97,57,100,12.62,overcast clouds
337,Kiunga,PG,-6.1219,141.2906,77.72,94,94,1.92,moderate rain
338,Mitsamiouli,KM,-11.3847,43.2844,75.74,68,6,4.34,clear sky
339,Neuquen,AR,-38.9516,-68.0591,46.29,61,0,10.36,clear sky
340,Manggar,ID,-2.8833,108.2667,82.76,75,100,14.65,overcast clouds
341,Williston,US,48.147,-103.618,90.19,34,0,5.99,clear sky
342,Praia,CV,14.9215,-23.5087,71.55,82,65,10.31,broken clouds
343,Pisco,PE,-13.7,-76.2167,60.85,82,0,9.22,clear sky
344,Tecoanapa,MX,16.5167,-98.75,77.41,84,88,1.68,overcast clouds
345,Esik,KZ,43.3552,77.4525,72.82,34,67,6.98,broken clouds
346,Ranong,TH,9.9658,98.6348,83.1,79,100,4.63,overcast clouds
347,Krapivinskiy,RU,54.9992,86.8133,64.04,49,26,5.19,scattered clouds
