City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Maningrida,AU,84.74,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
390,Daru,PG,79.59,overcast clouds,-9.0763,143.2092,Daru Lodge
391,Acajutla,SV,80.4,broken clouds,13.5928,-89.8275,asi es
393,Idenao,CM,76.03,light rain,4.2475,9.0047,Moland Beach Resort
394,Marzuq,YE,77.23,scattered clouds,14.4,46.4667,
395,Tutoia,BR,77.5,overcast clouds,-2.7619,-42.2744,Pousada Guará's
397,Smithers,CA,76.06,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
398,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
400,Jiuquan,CN,79.61,clear sky,39.7432,98.5174,Jiuquan Hotel
402,Pakdasht,IR,82.4,clear sky,35.4752,51.6807,باران مارال سما
403,Lahaina,US,85.95,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
405,Biak,ID,78.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
407,Fereydun Kenar,IR,79.74,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
416,Hambantota,LK,82.18,broken clouds,6.1241,81.1185,Bungalow 63
418,Melfort,CA,77.99,clear sky,52.8667,-104.6177,Carra Valla Inn
419,Sangar,RU,79.75,overcast clouds,63.9242,127.4739,
420,Pochutla,MX,76.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
422,Tumpat,MY,80.73,broken clouds,6.1978,102.171,Baan Tanyong B&B
423,Dalhousie,IN,76.66,scattered clouds,32.5333,75.9833,Hotel Mount View
426,Sabzevar,IR,80.83,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
429,Iranshahr,IR,88.07,clear sky,27.2025,60.6848,پلکه بزرگ
430,Beyneu,KZ,81.55,clear sky,45.3167,55.2,NUR
432,Gushikawa,JP,85.62,light rain,26.3544,127.8686,Kirari Guest House
434,Ayia Marina,GR,85.28,clear sky,37.75,23.5333,Argo Spa Hotel
435,Boueni,YT,76.98,broken clouds,-12.9025,45.0761,The feet in water
438,Meulaboh,ID,79.84,overcast clouds,4.1363,96.1285,Kost Pria
440,Palauig,PH,84.99,overcast clouds,15.435,119.9045,Myhousebythesea
441,Sabha,LY,88.92,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
442,Sakakah,SA,84.34,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
444,Kumphawapi,TH,89.01,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
446,Nanning,CN,88.38,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
451,Lompoc,US,77.56,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
453,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
454,Doka,SD,75.36,overcast clouds,13.5167,35.7667,
457,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
459,Jinchang,CN,75.06,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
462,Gazojak,TM,89.64,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
467,Farmington,US,87.78,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
468,Ravar,IR,80.96,clear sky,31.2656,56.8055,computertik
471,San Pedro,PH,87.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
476,Barahona,DO,79.18,overcast clouds,18.2085,-71.1008,Hotel Caribe
480,Hirado,JP,83.35,overcast clouds,33.3597,129.5531,Samson Hotel
481,Banjar,ID,82.26,scattered clouds,-8.19,114.9675,The Hamsa Resort
483,Greenville,US,82.81,clear sky,35.6127,-77.3663,the 5th Street Inn
484,Port-Gentil,GA,76.21,scattered clouds,-0.7193,8.7815,Fengshui Residence
485,Morros,BR,79.18,overcast clouds,-9.4467,-46.3003,
491,Dauphin,CA,76.51,clear sky,51.1494,-100.0502,Canway Inn & Suites
496,Dzhebariki-Khaya,RU,88.66,overcast clouds,62.2167,135.8,
503,Itoman,JP,86.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
504,Manokwari,ID,82.94,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Sibolga,ID,80.76,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
506,Jasper,US,77.02,broken clouds,37.2001,-94.3502,Guest House Motel
507,Sao Filipe,CV,75.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
508,Wuda,CN,78.48,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
513,Tanout,NE,88.38,few clouds,14.9709,8.8879,
515,Oriximina,BR,75.04,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
516,Tevaitoa,PF,79.86,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
521,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
522,Virginia Beach,US,85.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
524,Nishihara,JP,85.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
526,Diapaga,BF,77.65,overcast clouds,12.0708,1.7889,
537,Jingcheng,CN,83.01,overcast clouds,32.0142,120.2625,GreenTree Inn Taizhou Jingjiang Jiangping Road Shanghai City Business Hotel
541,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
542,Kailua,US,85.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
543,Ushtobe,KZ,81.66,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
547,Yafran,LY,85.53,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
549,Tantangan,PH,83.82,overcast clouds,6.615,124.7489,
552,Itarema,BR,75.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
553,Katobu,ID,83.25,broken clouds,-4.9408,122.5276,La Ode Husein
554,Dawlatabad,AF,86.16,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
559,Waingapu,ID,83.37,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
561,Muli,MV,82.76,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
562,Baghdad,IQ,84.11,smoke,33.3406,44.4009,Baghdad Hotel
